titles,personalities
ISTJ – THE INSPECTOR,"Motto:Organizing everything (Source)
Description:(Source)
ISTJs thrive on organization. They keep their lives and environments well-regulated. They bring painstaking attention to detail in their work and will not rest until a job is well completed.
They are often dissatisfied with unresolved issues, whether in life or in fiction.

ISTJs are faithful, logical, organized, sensible, and earnest traditionalists. They earn success by thoroughness and dependability.
Shutting out distractions, they take a practical, logical approach to their endeavors. Realistic and responsible, they work steadily toward their goals.
They enjoy creating order in both their professional and personal lives.
Despite their focus on their internal world, ISTJs prefer dealing with the present and the factual. Keen observers of life, they weigh various options when making decisions.
ISTJs are well-prepared for most eventualities and have a good understanding of most situations. They believe in practical objectives, and they value traditions and loyalty.
ISTJs learn best and apply themselves to subjects that they deem practical and useful. As learners, ISTJs tend to need materials, directions, and teachers to be precise and accurate if they are to trust the information that is presented.
They prefer concrete and useful applications and will tolerate theory only if it leads to these ends.
They like learning activities that allow them time to reflect and think. Material that seems too easy or too enjoyable leads ISTJs to be skeptical of its merit.
Because of their practical outlook, ISTJs clearly delineate between work and play. Therefore, their ideal learning environment is task-oriented, has a clear schedule, and has a clear and precise assignment.
ISTJs respect facts. They hold a tremendous store of data within themselves, gathered through their Sensing function.
They may have difficulty valuing a theory or idea that differs from their own perspective. However, if they are shown the importance or relevance of the idea by someone whom they respect or care about, the idea becomes a fact that the ISTJ will internalize and vigorously support.
ISTJs often work for long periods, devoting their energy to tasks that they see as important to fulfilling a goal. However, they resist putting energy into things that don’t make sense to them, or for which they can’t see a practical application.
They prefer to work alone but can work well in teams when the situation demands it. They like to be accountable for their actions, and they enjoy positions of responsibility.
They have little use for theory or abstract thinking, unless the practical application is clear.
In general, ISTJs are capable, logical, reasonable, and effective individuals with a deeply driven desire to promote security and peaceful living. They can be highly effective at achieving their goals—whatever those may be.
"
ISFJ – THE NURTURER,"Motto:Meeting obligations (Source)
Description:(Source)ISFJs are interested in maintaining order and harmony in every aspect of their lives. They are steadfast and meticulous in handling their responsibilities.
Although quiet, they are people-oriented and very observant. Not only do they remember details about others, but they observe and respect others’ feelings. Friends and family are likely to describe them as thoughtful and trustworthy.

ISFJs are warm-hearted and compassionate individuals who are always thinking of others before themselves.
They enjoy working in fields with long traditions where theycan apply their kind nature and analytic skills. They excel in social work, medicine, and academics for example.
Emotionally oriented, ISFJs are sensitive to other people’s feelings and have a deep understanding of their own.
At the same time, they are grounded by logic and reasoning and can always look at situations for what they are in a practical manner. This makes them detail oriented, they are always able to get the job done with precision and accuracy.
Even though ISFJs might have a tendency to procrastinate, they thrive on the pressure of the last minute and will always deliver on time.
Although quiet and private, ISFJs also have an uncanny ability to relate to other people on a personal level when it’s needed. They can offer great insight into the human condition, but don’t expect it to happen often.
ISFJs are well-known for keeping their thoughts and feelings to themselves most of the time.
ISFJs like things to be orderly, and they also have a uniquely creative side.
They tend to have aesthetically pleasing living spaces because they put a lot of thought into the design and flow of their house.
They have a knack for making friends and family feel safe and welcomed in their presence. But because they are always thinking of others’ needs, ISFJs become vulnerable to being taken advantage of.
Without proper praise for their accomplishments, ISFJs can easily become distracted by negative and self sabotaging thoughts.
Although they think highly of others, they tend to be far too critical of themselves, always expecting perfection. This perfectionism works both for and against ISFJs.
Overall, ISFJs are thoughtful and generous individuals who are dedicated to making a change in the world with their kindness and commitment.
They are emotionally intelligent, while also always taking a practical approach to life. Balanced and well-rounded, ISFJs are likely to succeed at anything they set their mind to.
"
INFJ – THE COUNSELOR,"Motto:One cause after another (Source)
Description:(Source)INFJs are conscientious and value-driven. They seek meaning in relationships, ideas, and events, with an eye toward better understanding themselves and others.
Using their intuitive skills, they develop a clear and confident vision, which they then set out to execute, aiming to better the lives of others.
Like theirINTJ counterparts, INFJs regard problems as opportunities to design and implement creative solutions.

One of the rarest personality types, INFJs are quiet, private individuals who prefer to exercise their influence behind the scenes.
Although very independent, INFJs are intensely interested in the well-being of others. INFJs prefer one-on-one relationships to large groups.
Sensitive and complex, they are adept at understanding complicated issues and driven to resolve differences in a cooperative and creative manner.
INFJs have a rich, vivid inner life, which they may be reluctant to share with those around them. Nevertheless, they are congenial in their interactions, and perceptive of the emotions of others.
Generally well-liked by their peers, they may often be considered close friends and confidants by most other types. However, they are guarded in expressing their own feelings, especially to new people, and so tend to establish close relationships slowly.
INFJs tend to be easily hurt, though they may not reveal this except to their closest companions.
INFJs may “silently withdraw as a way of setting limits”, rather than expressing their wounded feelings—a behavior that may leave others confused and upset.
INFJs tend to be sensitive, quiet leaders with a great depth of personality. They are intricately and deeply woven, mysterious, and highly complex, sometimes puzzling even to themselves.
They have an orderly view toward the world, but are internally arranged in a complex way that only they can understand.
Abstract in communicating, they live in a world of hidden meanings and possibilities.
With a natural affinity for art, INFJs tend to be creative and easily inspired. Yet they may also do well in the sciences, aided by their intuition.
"
INTJ – THE MASTERMIND,"Motto:Can improve on anything (Source)
Description:(Source)INTJs are analytical.Like INTPs, they are most comfortable working alone and tend to be less sociable than other types.
Nevertheless, INTJs are prepared to lead if no one else seems up to the task, or if they see a major weakness in the current leadership. They tend to be pragmatic, logical, and creative.
They have a low tolerance for spin or rampant emotionalism. They are not generally susceptible to catchphrases and do not recognize authority based on tradition, rank, or title.
Strengths:Hallmarks of the INTJ include independence of thought and a desire for efficiency. They work best when given autonomy and creative freedom.

They harbor an innate desire to express themselves by conceptualizing their own intellectual designs. They have a talent for analyzing and formulating complex theories.
INTJs are generally well-suited for occupations within academia, research, consulting, management, science, engineering, and law.
They are often acutely aware of their own knowledge and abilities–as well as their limitations and what they don’t know (a quality that tends to distinguish them from INTP’s). INTJs thus develop a strong confidence in their ability and talents, making them natural leaders.
Friendships:Checkthe INTJ Friendship Experience.
Relationships:(Checkthe INTJ Romantic Relationshipsfor more in-depth analysis.)
In forming relationships, INTJs tend to seek out others with similar character traits and ideologies. Agreement on theoretical concepts is an important aspect of their relationships.
By nature INTJs can be demanding in their expectations, and approach relationships in a rational manner. As a result, INTJs may not always respond to a spontaneous infatuation but wait for a mate who better fits their set criteria.
They tend to be stable, reliable, and dedicated. Harmony in relationships and home life tends to be extremely important to them.
They generally withhold strong emotion and do not like to waste time with what they consider irrational social rituals. This may cause non-INTJs to perceive them as distant and reserved; nevertheless, INTJs are usually very loyal partners who are prepared to commit substantial energy and time into a relationship to make it work.
As mates, INTJs want harmony and order in the home and in relationships.
The most independent of all types, INTJs trust their intuition when choosing friends and mates–even in spite of contradictory evidence or pressure from others.
The emotions of an INTJ are hard to read, and neither male nor female INTJs are apt to express emotional reactions.
At times, INTJs seem cold, reserved, and unresponsive, while in fact they are almost hypersensitive to signals of rejection from those they care for.
Family Life:Checkthe INTJ Family LifeandINTJ as a parent.
Education:Checkthe INTJ Education Experience.
Social Weaknesses:In social situations, INTJs may also be unresponsive and may neglect small rituals designed to put others at ease. For example, INTJs may communicate that idle dialogue such as small talk is a waste of time. This may create the impression that the INTJ is in a hurry–an impression that is not always intended.
In their interpersonal relationships, INTJs are usually better in a working situation than in a recreational situation.
"
ISTP – THE CRAFTSMAN,"Motto:Working with facts and hands (Source)
Description:(Source)ISTPs excel at analyzing situations to reach the heart of a problem so that they can swiftly implement a functional repair, making them ideally suited to the field of engineering.
Naturally quiet people, they are interested in understanding how systems operate, focusing on efficient operation and structure. They are open to new information and approaches.

But contrary to their seemingly detached natures, ISTPs are often capable of humorously insightful observations about the world around them.
They can also be closet daredevils who gravitate toward fast-moving or risky hobbies (such as bungee jumping, hang gliding, racing, motorcycling, and parachuting), recreational sports (such as downhill skiing, paintball, ice hockey, and scuba diving), and careers (such as aviation and firefighting).
ISTPs may sometimes seem to act without regard for procedures, directions, protocol, or even their own safety.
But while their approach may seem haphazard, it is in fact based on a broad store of knowledge developed over time through action and keen observation.
ISTPs enjoy self-sufficiency and take pride in developing their own solutions to problems.
ISTPs are content to let others live according to their own rules, as long as the favor is reciprocated.
ISTPs endure reasonable impositions without complaint–but if their “territory” is encroached upon, eroded, or violated, they defend what they view as rightfully theirs.
"
ISFP – THE ARTIST,"Motto:Marching to a different drummer (Source)
Description:(Source)ISFPs are peaceful, easygoing people who adopt a “live and let live” approach to life. They enjoy taking things at their own pace and tend to live in the moment.
Although quiet, they are pleasant, considerate, caring, and devoted to the people in their lives.
Though not inclined to debate or necessarily even air their views, their values are important to them.

Introverted and quiet, ISFPs are difficult to build a close relationship with. They usually have a small circle of friends and family who they have had relationships with over long periods of time.
Even though it takes ISFPs a long time to open up to others, once they do they have a lot to say. ISF’s are deep thinkers who walk to the beat of their own drum.
ISFPs tend to examine the world with all five of their senses. They thrive on experiencing every aspect of the present moment by taking in the sight, feel, touch, smell, and sounds of life as much as they possibly can.
This makes them incredibly talented artists who are able to breath life into their art. They excel in positions where they can follow their own personal value system while also expressing themselves creatively.
Motivated by their sympathetic nature, ISFPs are always ready to help anyone in need. They have an intuitive understanding of what other people are thinking and feeling which makes them skilled in helping others.
However, ISFPs have a tendency to become overly critical of themselves due to their strong sense of values and are not quick to take credit for their work.
Relentlessly humble, ISFPs prefer to have their work and service speak for themselves.
ISFPs also enjoy spending a lot of time in the quiet calm of nature where they can clear their heads and figure things out for themselves.
They value their alone time more than most people. In fact, they rely on solitude to unwind and gain perspective.
They may appear to have a care free attitude, but those who know the ISFP would say they are serious and focused.
And because they take life so seriously, ISFPs often feel overwhelmed by the world. But they overcome these obstacles with their altruistic nature and artistic abilities.
"
INFP – THE IDEALIST,"Motto:Pursuing ideals (Source)
Description:(Source)The polite, reserved exterior of INFPs can at first make them difficult to get to know. They enjoy conversation, however, taking particular delight in the unusual.
When INFPs are in a sociable mood, their humor and charm shine through. Disposed to like people and to avoid conflict, INFPs tend to make pleasant company.

Devoted to those in their inner circle, INFPs guard the emotional well-being of others, consoling those in distress.
Guided by their desire for harmony, INFPs prefer to be flexible unless their ethics are violated. Then, they become passionate advocates for their beliefs.
They are often able to sway the opinions of others through tact, diplomacy, and an ability to see varying sides of an issue.
INFPs develop these insights through reflection, and they require substantial time alone to ponder and process new information.
While they can be quite patient with complex material, they are generally bored by routine. Though not always organized, INFPs are meticulous about things they value.
Perfectionists, they may have trouble completing a task because it cannot meet their high standards. They may even go back to a completed project after the deadline so they can improve it.
INFPs are creative types and often have a gift for language. As introverts, they may prefer to express themselves through writing.
Their dominant Feeling drives their desire to communicate, while their auxiliary intuition supplies the imagination.
Having a talent for symbolism, they enjoy metaphors and similes. They continually seek new ideas and adapt well to change.
They prefer working in an environment that values these gifts and allows them to make a positive difference in the world, according to their personal beliefs.
"
INTP – THE SCIENTIST,"Motto:Always analytical (Source)
Description:(Source)INTPs are quiet, thoughtful, analytical individuals who tend to spend long periods of time on their own, working through problems and forming solutions.
They are curious about systems and how things work. Consequently, they are frequently found in careers such as science, philosophy, law, and architecture.

INTPs tend to be less at ease in social situations or in the “caring professions”, although they enjoy the company of those who share their interests. They prize autonomy in themselves and others.
They generally balk at attempts by others to convince them to change. They also tend to be impatient with the bureaucracy, rigid hierarchies, and the politics prevalent in many professions.
INTPs have little regard for titles and badges, which they often consider to be unjustified. INTP’s usually come to distrust authority as hindering the uptake of novel ideas and the search for knowledge.
INTPs accept ideas based on merit, rather than tradition or authority.
They have little patience for social customs that seem illogical or that serve as obstacles for pursuing ideas and knowledge. This may place them at odds with people who have an SJ preference, since SJs tend to defer to authority, tradition, and what the rest of the group is doing.
INTPs prefer to work informally with others as equals.
INTPs organize their understanding of any topic by articulating principles, and they are especially drawn to theoretical constructs. Having articulated these principles for themselves, they can demonstrate remarkable skill in explaining complex ideas to others in simple terms, especially in writing.
On the other hand, their ability to grasp complexity may also lead them to provide overly detailed explanations of simple ideas, and listeners may judge that the INTP makes things more difficult than they need to be.
To the INTPs’ mind, they are presenting all the relevant information or trying to crystallize the concept as clearly as possible.
Given their independent nature, INTPs may prefer working alone to leading or following in a group.
During interactions with others, if INTPs are focused on gathering information, they may seem oblivious, aloof, or even rebellious–when in fact they are concentrating on listening and understanding.
However, INTPs’ extraverted intuition often gives them a quick wit, especially with language. They may defuse tension through comical observations and references.
They can be charming, even in their quiet reserve, and are sometimes surprised by the high esteem in which their friends and colleagues hold them.
INTP’s are driven to fully understand a discussion from all relevant angles. Their impatience with seemingly indefensible ideas can make them particularly devastating at debate.
When INTPs feel insulted, they may respond with sudden, cutting criticism. After such an incident, INTPs are likely to be as bewildered as the recipient. They have broken the rules of debate and exposed their raw emotions.
To INTPs, this is the crux of the problem: improperly handled emotions, INTPs believe, can only harm.
While INTP’s experience emotions as an important part of their internal lives, and sometimes share their emotions with others, INTP’s nevertheless believe that emotions must not play a role in logical discussions, or be expressed in a way that would put themselves at disadvantage.
"
ESTP – THE DOER,"Motto:Focus on the here and now (Source)
Description:(Source)ESTPs are hands-on learners who live in the moment, seeking the best in life, wanting to share it with their friends.
The ESTP is open to situations, able to improvise to bring about desired results. They are active people who want to solve their problems rather than simply discuss them.

ESTPs are high energy extroverts who maximize each moment to get the best out of life. They are gregarious and sociable which often makes them the center of attention whether they are at work or a social event.
An ESTP will be open to new situations, and they are often the first to volunteer to demonstrate or learn a new skill whenever the opportunity arises.
ESTPs prefer to actively participate in solving a problem rather than sitting around discussing a solution.
They tend to jump into projects and thrive on the mental stimulation that comes from making critical decisions in the moment.
Due to their desire to follow their own moral compass, ESTPs will sometimes encounter challenges when dealing with authority figures.
An ESTP may find it difficult to work in highly organized environments that require a great deal of focused discussions.
Formal education and regimented work schedules interfere with their desire to learn through hands-on experiences. However, ESTPs who manage to harness their energy long enough to complete their formal learning can go on to experience high achievements.
An ESTP will be a natural group leader who can quickly identify the strengths and weaknesses of each member of their team.
ESTPs have a unique knack for picking up on slight details such as a change in a person’s facial expressions and body language.
As soon as an ESTP senses an unspoken thought or shift in mood from another individual, they are quick to bring it into the open and ask questions to get to the heart of the matter. While this ability to perceive the motives of others can be beneficial, it can also be off-putting to those who prefer not to have their secrets revealed so easily.
The passionate and energetic nature of ESTPs make them ideal entrepreneurs provided they can enjoy active participation in running their business.
Hands-on careers, such as construction, emergency services and the military are also ideal careers for an ESTP. They also thrive in the public eye and may enjoy working as a salesperson, comedian or actor.
Eddie Murphy, Madonna and Bruce Willis are among the more well-known ESTPs.
As long as an ESTP can harness their high energy and point it in a positive direction, they can conquer any challenge they encounter while promoting success for everyone with whom they come in contact.
"
ESFP – THE PERFORMER,"Motto:If there’s no excitement, we’ll create it (Source)
Description:(Source)ESFP’s live in the moment, experiencing life to the fullest. They enjoy people, as well as material comforts.
Rarely allowing conventions to interfere with their lives, they find creative ways to meet human needs.
ESFP’s are excellent team players, focused on completing the task at hand with maximum fun and minimum discord.
Active types, they find pleasure in new experiences.

ESFP’s take a hands-on approach in most things. Because they learn more by doing than by studying or reading, they tend to rush into things, learning by interacting with their environment.
They usually dislike theory and written explanations.
Traditional schools can be difficult for ESFP’s, although they tend to do well when the subject of study interests them, or when they see the relevance of a subject and are allowed to interact with people.
Observant, practical, realistic, and specific, ESFP’s make decisions according to their own personal standards.
They use their Feeling judgment internally to identify and empathize with others. Naturally attentive to the world around them,
ESFP’s are keen observers of human behavior. They quickly sense what is happening with other people and immediately respond to their individual needs.
They are especially good at mobilizing people to deal with crises. Generous, optimistic, and persuasive, they are good at interpersonal interactions.
They often play the role of peacemaker due to their warm, sympathetic, and tactful nature.
ESFP’s love being around people and having new experiences. Living in the here-and-now, they often do not think about long term effects or the consequences of their actions.
While very practical, they generally despise routines, instead desiring to “go with the flow.”
They are, in fact, very play minded. Because ESFP’s learn better through hands-on experience, classroom learning may be troublesome for many of them, especially those with a very underdeveloped intuitive side.
"
